iter	RMSE
0	12.37241078
1	12.06612603
2	11.79796772
3	11.53000232
4	11.29717986
5	11.05899747
6	10.83721373
7	10.63273166
8	10.44359136
9	10.27030035
10	10.10882017
11	9.960578792
12	9.828573786
13	9.700158081
14	9.594013884
15	9.493120026
16	9.39435822
17	9.313165905
18	9.235470735
19	9.157212083
20	9.084849309
21	9.0171931
22	8.964905633
23	8.916000491
24	8.871344313
25	8.820993818
26	8.776541999
27	8.742850508
28	8.710915422
29	8.677968515
30	8.655480148
31	8.632420858
32	8.605790848
33	8.582086068
34	8.559502255
35	8.539788542
36	8.521068848
37	8.505419899
38	8.488599253
39	8.474465136
40	8.460431276
41	8.442873956
42	8.429505129
43	8.417363428
44	8.407374763
45	8.398695078
46	8.389796096
47	8.38076163
48	8.372130054
49	8.363198159
50	8.355083013
51	8.346872727
52	8.341142035
53	8.335946373
54	8.328747539
55	8.32360926
56	8.322343458
57	8.317593676
58	8.31348621
59	8.307574157
60	8.30427195
61	8.303056981
62	8.298563806
63	8.293421749
64	8.290475123
65	8.286070953
66	8.28089
67	8.275862268
68	8.273442435
69	8.272277224
70	8.269020447
71	8.264622746
72	8.262894419
73	8.257259082
74	8.253868508
75	8.250683783
76	8.24705468
77	8.243381821
78	8.239035067
79	8.236338497
80	8.232600655
81	8.230764711
82	8.228797161
83	8.225584292
84	8.223554306
85	8.220704616
86	8.219397145
87	8.21661971
88	8.213208336
89	8.209716599
90	8.207307451
91	8.205055035
92	8.204047105
93	8.201168732
94	8.200478777
95	8.199722201
96	8.198226204
97	8.196403024
98	8.195092978
99	8.193221424
100	8.192162461
101	8.190134918
102	8.186612591
103	8.184498582
104	8.183448404
105	8.180431386
106	8.179384306
107	8.178085288
108	8.177283019
109	8.175852093
110	8.174051327
111	8.171453132
112	8.170534534
113	8.168681337
114	8.168271579
115	8.167065158
116	8.165905336
117	8.162045242
118	8.161373628
119	8.159329559
120	8.158076705
121	8.157333981
122	8.15542674
123	8.153762131
124	8.152457025
125	8.149564221
126	8.146995241
127	8.143850009
128	8.142140693
129	8.139082597
130	8.136627006
131	8.135654299
132	8.132830049
133	8.13259275
134	8.130235244
135	8.12797437
136	8.127072069
137	8.125765224
138	8.124342278
139	8.122733348
140	8.12159537
141	8.118599947
142	8.116017364
143	8.114591669
144	8.114072648
145	8.112896728
146	8.112301453
147	8.108756764
148	8.106902611
149	8.105628757
150	8.104413681
151	8.104208073
152	8.103349589
153	8.101894686
154	8.101309339
155	8.099757544
156	8.09800908
157	8.096243659
158	8.092968442
159	8.09181132
160	8.091358699
161	8.090725794
162	8.090007095
163	8.089372353
164	8.089136964
165	8.088165985
166	8.087389114
167	8.082413398
168	8.080819136
169	8.079718125
170	8.07912401
171	8.075845659
172	8.074564552
173	8.073902496
174	8.072596596
175	8.070654874
176	8.068081356
177	8.066129049
178	8.065492071
179	8.064040246
180	8.062486836
181	8.061149939
182	8.057960563
183	8.057434645
184	8.055356843
185	8.0547842
186	8.053324887
187	8.052077291
188	8.051753503
189	8.050506142
190	8.049845862
191	8.047236363
192	8.045326427
193	8.043483736
194	8.042143809
195	8.04128995
196	8.039173391
197	8.037411973
198	8.035988943
199	8.034515306
200	8.031919119
201	8.031345476
202	8.030859693
203	8.029787769
204	8.028469696
205	8.026570297
206	8.025103481
207	8.022532359
208	8.020380938
209	8.018589408
210	8.01815785
211	8.015500288
212	8.014905945
213	8.014040769
214	8.013498019
215	8.011530909
216	8.009920648
217	8.009284287
218	8.005245733
219	8.00433674
220	8.002995925
221	8.001317974
222	8.000374655
223	7.999413737
224	7.997581111
225	7.996603788
226	7.996055258
227	7.994872992
228	7.994319736
229	7.989613991
230	7.987897403
231	7.985900976
232	7.982813603
233	7.981634816
234	7.98000995
235	7.978296575
236	7.977734937
237	7.977192697
238	7.976567993
239	7.975777492
240	7.975262538
241	7.974532449
242	7.973822852
243	7.971658486
244	7.970900525
245	7.96998726
246	7.965484342
247	7.964283767
248	7.963085432
249	7.961125825
250	7.959445195
251	7.958762923
252	7.95815751
253	7.956420872
254	7.954892242
255	7.952280093
256	7.951037417
257	7.950344006
258	7.949647612
259	7.949241358
260	7.948069226
261	7.946724153
262	7.945303081
263	7.944579497
264	7.942502395
265	7.941542719
266	7.937485148
267	7.936229908
268	7.935845983
269	7.935425572
270	7.93288209
271	7.929406392
272	7.92904245
273	7.928285643
274	7.926909584
275	7.925322876
276	7.925047336
277	7.91985075
278	7.919486782
279	7.918360837
280	7.916906323
281	7.916483557
282	7.914688598
283	7.913980431
284	7.912243184
285	7.91081402
286	7.909507309
287	7.908211823
288	7.907580366
289	7.907175667
290	7.906092382
291	7.902901658
292	7.90221797
293	7.900495203
294	7.896062682
295	7.895755425
296	7.895511072
297	7.89471534
298	7.890650275
299	7.890235663
300	7.889669455
301	7.889293204
302	7.887075988
