iter	Passed	Remaining
0	52	52317
1	88	44029
2	126	42051
3	165	41087
4	198	39417
5	235	39076
6	286	40663
7	337	41808
8	395	43495
9	446	44222
10	495	44557
11	542	44664
12	589	44757
13	629	44311
14	679	44598
15	725	44628
16	773	44727
17	806	44016
18	851	43962
19	913	44737
20	964	44959
21	1025	45568
22	1063	45187
23	1136	46206
24	1184	46188
25	1225	45891
26	1264	45586
27	1302	45220
28	1361	45572
29	1400	45282
30	1454	45465
31	1501	45431
32	1549	45394
33	1595	45338
34	1653	45580
35	1706	45695
36	1753	45639
37	1798	45518
38	1843	45437
39	1897	45539
40	1937	45311
41	1990	45398
42	2030	45181
43	2086	45334
44	2164	45933
45	2204	45726
46	2245	45540
47	2305	45731
48	2353	45680
49	2393	45480
50	2447	45536
51	2488	45371
52	2542	45428
53	2581	45225
54	2634	45263
55	2679	45169
56	2741	45358
57	2791	45336
58	2832	45176
59	2874	45032
60	2923	45003
61	2948	44603
62	2989	44458
63	3034	44386
64	3075	44237
65	3122	44185
66	3170	44147
67	3210	44006
68	3260	43998
69	3310	43983
70	3354	43887
71	3415	44026
72	3463	43983
73	3525	44115
74	3566	43990
75	3628	44110
76	3700	44352
77	3746	44283
78	3799	44293
79	3846	44231
80	3889	44129
81	3927	43965
82	3967	43834
83	4061	44290
84	4133	44492
85	4178	44407
86	4225	44340
87	4269	44244
88	4318	44201
89	4367	44156
90	4412	44080
91	4441	43832
92	4514	44027
93	4584	44182
94	4609	43909
95	4658	43869
96	4715	43900
97	4816	44330
98	4871	44336
99	4949	44541
100	5021	44700
101	5087	44793
102	5131	44692
103	5191	44724
104	5256	44804
105	5300	44706
106	5354	44690
107	5384	44472
108	5460	44636
109	5513	44606
110	5560	44533
111	5606	44448
112	5665	44471
113	5732	44555
114	5778	44472
115	5838	44493
116	5899	44521
117	5948	44465
118	5983	44300
119	6030	44221
120	6075	44136
121	6117	44029
122	6159	43914
123	6205	43841
124	6247	43730
125	6308	43760
126	6379	43850
